Query,Average Time (seconds)_1,Average Time (seconds)_10,Average Time (seconds)_100,Average Time (seconds)_1000
Query1,0.2449005960000025,1.3692825833,12.384469212599948,127.50469568339976
Query3,0.4544456710000023,0.1954608916999944,0.4621143207000386,11.171930170800078
Query4,0.3681717125999985,0.3995630248999958,0.4507869208000556,1.1395683454999015
Query5,2.7903361500000026,3.106277962400006,2.7287568541000384,3.655486179200489
Query6,0.6300067084000027,0.7587641124999976,1.0155156126000064,15.06594401659986
Query7,2.7363816374000023,2.96435875010001,2.79235247900001,4.580089458200382
Query8,0.1213908582999984,0.1916549040000063,0.1308841167000309,0.2708686541996939
Query9,0.1244625792999976,0.1287741624000034,0.1540453249999245,0.51421871249986
Query10,3.242821058199999,3.268016395599997,4.706190291800022,33.78621041679999
Query11,0.122940553999998,0.1263468875000057,0.1425610584999731,0.2946154791001391
Query12,0.1266141832999999,0.1378622500999938,0.164402525000014,0.5857215333004205
Query13,0.1241224164999998,0.1369715582999958,0.1502458168999965,0.4760448251003254
Query14,0.1241550084999943,0.142363366400005,0.1246417041999393,0.1867041915995287
Query15,0.124694033300004,0.1487631792000058,0.127491591900025,0.5789675290992818
Query16,2.4231761458999976,2.9433414374999955,2.3881301125999697,2.4668816708992383
Query17,2.38233005,2.8219832081,2.3132621168000016,2.366566703999524
Query18,2.4734708376,2.4796801043000016,2.3438960331999623,2.3776479833999478
Query19,2.450469370599998,2.507525816699996,2.3647434292999834,2.425609904099656
Query20,2.4201198416999943,2.5071333333999943,2.372110983300036,2.4376326831998085
Query21,2.4606033084000023,2.509502950099994,2.540023170699942,2.83100011660008
Query22,7.877489999899012e-05,0.5530999249999979,6.239856724800006,62.65381653329987
